title,price,rating,reviews,availability
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,164 ratings",
"FXH Wireless PS4 Controller for PS4/ Slim/Pro with Highly Sensitive Buttons /Dual Vibration/6-Axis Motion Sensor/Audio Jack PS4 Controller ,Compatible with Playstation-4-Black…",,4.9 out of 5 stars,"1,276 ratings",Not Available
"ROTOMOON PS4 Glitter Silicone Controller Skins with 8 Thumb Grips & L2 R2 Trigger Protector, Sweat-Proof Anti-Slip Controller Cover Skin Protector Compatible with Playstation 4 Slim/Pro Controller…",,5.0 out of 5 stars,7 ratings,Not Available
Hunting Simulator - PlayStation 4,$16.71,4.3 out of 5 stars,937 ratings,In Stock
"ADHLEK PS4 Wireless Controller for PS4/Slim/Pro,with Dual Vibration Game Joystick Remote Camo Blue",$19.99,4.2 out of 5 stars,174 ratings,Not Available
"BlueFire Professional 3.5mm PS4 Gaming Headset Headphone with Mic and LED Lights for Playstation 4, PS5, Xbox one,Laptop, Computer (Blue)",,4.4 out of 5 stars,"8,259 ratings",Not Available
Team Sonic Racing - PlayStation 4,$27.50,4.7 out of 5 stars,"1,488 ratings",Not Available
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle,,4.8 out of 5 stars,"8,858 ratings",Not Available
PlayStation 4 Slim 1TB Limited Edition Console - Call of Duty WWII Bundle [Discontinued],,4.6 out of 5 stars,711 ratings,
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,567 ratings",
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,294 ratings,Usually ships within 5 to 6 days
PlayStation 4 Slim 1TB Gold Console [Discontinued],,4.6 out of 5 stars,707 ratings,Only 1 left in stock - order soon
Madden NFL 23 – PlayStation 4,$39.88,4.6 out of 5 stars,681 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,$58.75,4.7 out of 5 stars,"140,788 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$61.50,4.7 out of 5 stars,"140,788 ratings",Not Available
Hermitshell Hard EVA Travel Case Fits Sony PlayStation VR Launch Bundle & PS4 Pro,$75.99,4.2 out of 5 stars,111 ratings,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,$63.00,4.7 out of 5 stars,"140,788 ratings",Not Available
"Sony PlayStation 4 Dualshock 4 Wireless Controller, Black (New)",,4.5 out of 5 stars,"1,559 ratings",Not Available
NBA 2K23 - PlayStation 4,$59.99,4.6 out of 5 stars,219 ratings,In Stock
"2 Pack Wireless Controller for Playstation 4, Qyszy88 Wireless Controller for Sony PS4/Pro/Slim/, with Double Shock/Stereo Headset Jack/Touch Pad/Six-axis Motion Control，Great Gamepad Gift (Blue+Purple)",,4.3 out of 5 stars,237 ratings,Not Available
Uowtfiow Wireless Gamepad Compatible with Ps-4/Pro/Slim Console,,4.2 out of 5 stars,12 ratings,Not Available
"Wiv77 2 Pack Controller Wireless Intended for PS4 Controller/Playstation 4 Controller Console/PC, Bluetooth&Wired Connection/Smooth Touchpad/Two Motors/Headphone Jack(Titanium Blue and Craystal Blue)",,3.7 out of 5 stars,11 ratings,Not Available
Venom Playstation 4 Twin Charge Docking Station - Red (PS4),,4.3 out of 5 stars,297 ratings,Not Available
Dying Light 2 Stay Human - PlayStation 4,$29.99,4.6 out of 5 stars,945 ratings,In Stock
